set,name,s1,v1,s2,v2,t,tv,category
식양의 흐름,식양의 흐름 단봉,의지,32,지능,21,배틀 스킬 피해 보너스,41.4%,부품
식양의 흐름,식양의 흐름 보호 장갑,의지,65,지능,43,냉기와 전기 피해 보너스,19.2%,보호 장갑
식양의 흐름,식양의 흐름 경갑,의지,87,지능,58,냉기와 전기 피해 보너스,11.5%,방어구
청파,청파 물 항아리,지능,32,의지,21,오리지늄 아츠 강도,41,부품
청파,청파 위치 지정기,민첩,32,힘,21,배틀 스킬 피해 보너스,41.4%,부품
청파,청파죽인,힘,32,민첩,21,열기와 자연 피해 보너스,23.0%,부품
청파,청파 보호 장갑,지능,65,의지,43,궁극기 충전 효율,20.5%,보호 장갑
청파,청파 금속 장갑,민첩,65,힘,43,모든 스킬 피해 보너스,23.0%,보호 장갑
청파,청파 경갑,지능,87,의지,58,오리지늄 아츠 강도,20,방어구
청파,청파 중갑,민첩,87,힘,58,궁극기 충전 효율,12.3%,방어구
개척,개척자 산소 공급 장치,의지,41,-,-,물리 피해 보너스,23.0%,부품
개척,개척자 증량 산소 공급 장치 · I,지능,32,민첩,21,보조 능력치,20.7%,부품
개척,개척자 증량 산소 공급 장치,민첩,32,지능,21,보조 능력치,20.7%,부품
개척,개척자 분석 장치,힘,41,-,-,궁극기 피해 보너스,51.8%,부품
개척,개척자 통신기 · I,힘,32,지능,21,냉기와 전기 피해 보너스,23.0%,부품
개척,개척자 통신기,힘,32,민첩,21,연계 스킬 피해 보너스,41.4%,부품
개척,개척자 섬유 장갑 · I,지능,65,민첩,43,궁극기 충전 효율,20.5%,보호 장갑
개척,개척자 섬유 장갑,의지,65,힘,43,모든 스킬 피해 보너스,23.0%,보호 장갑
개척,개척자 내부식성 장갑,민첩,65,지능,43,배틀 스킬 피해 보너스,34.5%,보호 장갑
개척,개척자 방호복,지능,87,민첩,58,궁극기 충전 효율,12.3%,방어구
개척,개척자 방어구 · III,민첩,87,지능,58,보조 능력치,10.4%,방어구
개척,개척자 방어구 · II,민첩,87,지능,58,배틀 스킬 피해 보너스,20.7%,방어구
